######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000529    2021-Jan-04 12:50:41.124575     -90183 
000530    2021-Jan-04 12:50:42.207844     -90186 
000531    2021-Jan-04 12:50:44.207833     -90194 
000532    2021-Jan-04 12:50:47.458453     -90205 
000533    2021-Jan-04 12:50:48.958119     -90213 
000534    2021-Jan-04 12:50:52.124662     -90224 
000535    2021-Jan-04 12:50:53.124634     -90228 
000536    2021-Jan-04 12:50:56.791617     -90243 
000537    2021-Jan-04 12:50:58.040352     -90246 
000538    2021-Jan-04 12:51:04.541423     -90269 
000539    2021-Jan-04 12:51:34.039523     -90382 
000540    2021-Jan-04 12:56:23.393699     -91466 
