tus;erg;typ;adr;dau;det;kev;cal_abc
-667758.0833333334;51;0;1;1;1;512.866;0.005286, 8.364000, 72.553100
-667599.9722222222;246;0;1;1;1;2449.9847;0.005286, 8.364000, 72.553100
-667599.75;216;3;1;1;1;-999.0;0.005286, 8.364000, 72.553100
-667599.4166666666;1169;1;1;1;1;12844.2379;0.005286, 8.364000, 72.553100
-663296.0277777778;1686;0;1;1;1;29200.2196;0.005286, 8.364000, 72.553100
-662692.1944444445;22;0;1;1;1;259.1195;0.005286, 8.364000, 72.553100
-660696.1666666666;29;0;1;1;1;319.5546;0.005286, 8.364000, 72.553100
-658958.0555555555;31;0;1;1;1;336.9169;0.005286, 8.364000, 72.553100
-656128.7777777778;60;0;1;1;1;593.4227;0.005286, 8.364000, 72.553100
-655684.5555555555;189;0;1;1;1;1842.1703;0.005286, 8.364000, 72.553100
-651080.5277777778;566;0;1;1;1;6499.9789;0.005286, 8.364000, 72.553100
-650940.8888888889;22;0;1;1;1;259.1195;0.005286, 8.364000, 72.553100
-648269.4166666666;1726;0;1;1;1;30256.2128;0.005286, 8.364000, 72.553100
-647878.1666666666;80;0;1;1;1;775.5035;0.005286, 8.364000, 72.553100
-645874.2777777778;1833;0;1;1;1;33164.1384;0.005286, 8.364000, 72.553100
-643181.9722222222;126;0;1;1;1;1210.3376;0.005286, 8.364000, 72.553100
-641381.3888888889;45;0;1;1;1;459.6373;0.005286, 8.364000, 72.553100
-641285.7222222222;50;0;1;1;1;503.9681;0.005286, 8.364000, 72.553100
-641180.4722222222;31;0;1;1;1;336.9169;0.005286, 8.364000, 72.553100
-639496.1111111111;121;0;1;1;1;1161.9894;0.005286, 8.364000, 72.553100
-639240.3611111111;495;0;1;1;1;5507.9353;0.005286, 8.364000, 72.553100
-637028.8888888889;33;0;1;1;1;354.3216;0.005286, 8.364000, 72.553100
-636306.6388888889;108;0;1;1;1;1037.521;0.005286, 8.364000, 72.553100
-630899.3888888889;40;0;1;1;1;415.5707;0.005286, 8.364000, 72.553100
-628255.1388888889;52;0;1;1;1;521.7744;0.005286, 8.364000, 72.553100
-627933.5277777778;242;0;1;1;1;2406.2104;0.005286, 8.364000, 72.553100
-627016.2777777778;66;0;1;1;1;647.6029;0.005286, 8.364000, 72.553100
-624565.4166666666;52;0;1;1;1;521.7744;0.005286, 8.364000, 72.553100
-622779.2222222222;1735;0;1;1;1;30496.1425;0.005286, 8.364000, 72.553100
-617607.5;1825;0;1;1;1;32942.5368;0.005286, 8.364000, 72.553100
-617178.6666666666;290;0;1;1;1;2942.6657;0.005286, 8.364000, 72.553100
-615781.2777777778;24;0;1;1;1;276.3338;0.005286, 8.364000, 72.553100
-613999.4166666666;1777;0;1;1;1;31627.1366;0.005286, 8.364000, 72.553100
-611625.8055555555;36;0;1;1;1;380.5078;0.005286, 8.364000, 72.553100
-610743.6666666666;87;0;1;1;1;840.2308;0.005286, 8.364000, 72.553100
-609454.3333333334;1708;0;1;1;1;29778.9226;0.005286, 8.364000, 72.553100
-608188.25;21;0;1;1;1;250.5282;0.005286, 8.364000, 72.553100
-606766.3055555555;33;0;1;1;1;354.3216;0.005286, 8.364000, 72.553100
-605479.3888888889;193;0;1;1;1;1883.7033;0.005286, 8.364000, 72.553100
-604841.1666666666;53;0;1;1;1;530.6935;0.005286, 8.364000, 72.553100
-604100.7777777778;24;0;1;1;1;276.3338;0.005286, 8.364000, 72.553100
-603990.7777777778;22;0;1;1;1;259.1195;0.005286, 8.364000, 72.553100
-602705.8055555555;1844;0;1;1;1;33469.9452;0.005286, 8.364000, 72.553100
-601976.2777777778;356;0;1;1;1;3720.0636;0.005286, 8.364000, 72.553100
-593956.9444444445;71;0;1;1;1;693.0438;0.005286, 8.364000, 72.553100
-592818.6111111111;53;0;1;1;1;530.6935;0.005286, 8.364000, 72.553100
-590351.4166666666;139;0;1;1;1;1337.2799;0.005286, 8.364000, 72.553100
-589785.1388888889;186;0;1;1;1;1811.1316;0.005286, 8.364000, 72.553100
-589709.3888888889;84;0;1;1;1;812.4271;0.005286, 8.364000, 72.553100
-588534.0833333334;238;0;1;1;1;2362.6053;0.005286, 8.364000, 72.553100
-582590.5;1561;0;1;1;1;26009.2643;0.005286, 8.364000, 72.553100
-581384.3888888889;215;0;1;1;1;2115.1585;0.005286, 8.364000, 72.553100
