tus,erg,typ,adr,dau,det,keV,cal_abc
-852846.5277777778,51,0,1,1,1,507.373925,"0.005245, 8.4154, 64.54628"
-851803.3611111111,41,0,1,1,1,418.39452500000004,"0.005245, 8.4154, 64.54628"
-845163.9444444445,109,0,1,1,1,1044.140725,"0.005245, 8.4154, 64.54628"
-843793.8611111111,50,0,1,1,1,498.42877999999996,"0.005245, 8.4154, 64.54628"
-842288.8888888889,147,0,1,1,1,1414.949285,"0.005245, 8.4154, 64.54628"
-841389.8611111111,66,0,1,1,1,642.8099,"0.005245, 8.4154, 64.54628"
-839989.6388888889,115,0,1,1,1,1101.682405,"0.005245, 8.4154, 64.54628"
-835313.9444444445,33,0,1,1,1,347.96628499999997,"0.005245, 8.4154, 64.54628"
-834516.3611111111,1978,0,1,1,1,37231.18606,"0.005245, 8.4154, 64.54628"
-833968.2222222222,1301,0,1,1,1,19890.673925,"0.005245, 8.4154, 64.54628"
-833361.4722222222,32,0,1,1,1,339.20996,"0.005245, 8.4154, 64.54628"
-832861.5,1592,0,1,1,1,26755.12676,"0.005245, 8.4154, 64.54628"
-830400.3888888889,28,0,1,1,1,304.28956,"0.005245, 8.4154, 64.54628"
-829621.3333333334,76,0,1,1,1,734.4118,"0.005245, 8.4154, 64.54628"
-829506.8333333334,1785,0,1,1,1,31797.785405,"0.005245, 8.4154, 64.54628"
